,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,21:11,183,"1,411",470,3,21,37.1,92,3.94s,9,379,193,28,22,612,1,80%,4,4,87.2%,328,40,0,8,7,2,79%,30/38,Titans vs Knights,Titans,2015
1,46%,18:03,166,"1,616",517,5,40,41.5,230,3.35s,7,386,210,25,17,436,1,55%,3,2,90.9%,330,21,1,12,8,0,79%,31/39,Titans vs Knights,Knights,2015
