,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,22:55,146,"1,215",364,3,22,35.7,114,3.85s,8,353,195,29,15,408,1,75%,1,5,92.7%,331,21,5,13,7,0,1,6,0,65%,22/34,Knights vs Rabbitohs,Knights,2017
1,47%,20:20,164,"1,444",458,3,21,41.3,168,3.81s,4,349,193,43,16,381,1,80%,1,8,90.2%,296,22,10,14,6,2,1,6,2,63%,22/35,Knights vs Rabbitohs,Rabbitohs,2017
