,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,20:08,175,"1,480",429,5,41,40,156,3.97s,7,420,246,37,18,359,0,60%,6,2,88.2%,283,18,20,4,0,81%,30/37,Warriors vs Titans,Warriors,2015
1,57%,26:41,158,"1,465",397,7,18,45.8,96,3.46s,13,369,207,23,16,399,1,64%,4,3,87%,341,41,10,9,1,72%,23/32,Warriors vs Titans,Titans,2015
