,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,23:23,167,"1,443",362,4,25,39,171,3.68s,6,385,228,9,14,444,1,100%,3,3,87%,380,38,0,19,16,5,0,1,8,1,59%,22/37,Titans vs Broncos,Titans,2019
1,54%,27:27,177,"1,798",476,6,38,48.6,170,3.56s,12,380,194,4,20,491,0,100%,5,3,89.7%,304,25,2,10,8,9,1,1,8,0,78%,29/37,Titans vs Broncos,Broncos,2019
