,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,33:05,206,"2,079",705,3,20,46.2,290,3.95s,6,486,268,23,27,683,2,86%,8,3,90.8%,354,24,0,12,4,1,80%,36/45,Roosters vs Broncos,Roosters,2015
1,41%,22:59,167,"1,492",571,2,24,39.3,152,3.55s,8,385,195,17,24,843,1,81%,3,3,92.9%,405,20,2,11,5,0,82%,31/38,Roosters vs Broncos,Broncos,2015
