,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,24:51,154,"1,434",496,3,20,44.8,190,3.4s,8,336,172,27,20,535,0,100%,3,6,87.6%,360,36,15,7,10,8,81%,26/32,Warriors vs Sharks,Warriors,2018
1,53%,28:02,185,"1,514",528,4,36,36.1,214,3.5s,9,411,232,24,19,570,4,78%,4,6,90%,305,20,14,7,5,7,83%,35/42,Warriors vs Sharks,Sharks,2018
