,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,28:01,181,"1,635",509,6,34,41.9,146,3.09s,5,421,241,26,17,456,1,70%,1,6,3,89.4%,397,33,0,14,12,7,1,8,77%,30/39,Roosters vs Cowboys,Roosters,2019
1,51%,29:09,190,"1,664",447,2,33,40.6,147,3.51s,7,447,246,33,24,613,2,91%,0,6,6,88.3%,355,34,1,13,5,7,1,7,88%,36/41,Roosters vs Cowboys,Cowboys,2019
