,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,30:17,176,"1,611",483,2,32,43.5,173,3.44s,8,422,234,11,24,563,1,73%,0,5,4,89.7%,339,24,1,15,10,5,8,0,78%,29/37,Cowboys vs Bulldogs,Cowboys,2019
1,46%,25:48,180,"1,559",412,2,24,43.3,96,3.59s,10,417,221,8,25,701,2,86%,1,4,5,88.7%,337,32,0,11,10,7,7,1,83%,30/36,Cowboys vs Bulldogs,Bulldogs,2019
