,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,26:05,173,"1,608",489,4,45,39.2,262,3.48s,8,395,223,34,20,455,3,86%,1,8,85.7%,330,36,19,14,3,8,0,73%,30/41,Cowboys vs Wests Tigers,Cowboys,2017
1,48%,24:04,172,"1,499",488,6,36,40.5,103,3.44s,12,351,173,7,18,522,0,60%,4,2,85.1%,332,45,13,9,9,8,2,73%,27/37,Cowboys vs Wests Tigers,Wests Tigers,2017
