,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,40%,19:29,134,"1,235",521,3,44,32.5,94,5,329,181,16,13,452,1,67%,1,2,1,92.8%,361,12,16,8,1,68%,26/38,Eels vs Cowboys,Eels,2013
1,60%,29:13,168,"1,528",621,3,12,38.2,170,10,403,216,25,26,526,5,60%,0,7,13,84.7%,282,44,7,10,0,80%,32/40,Eels vs Cowboys,Cowboys,2013
