,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,70%,36:31,194,"1,738",614,2,25,40.4,247,3.57s,13,444,243,28,21,598,3,83%,3,4,84.8%,317,43,1,14,8,81%,35/43,Panthers vs Rabbitohs,Panthers,2015
1,30%,15:39,153,"1,447",508,3,43,42.6,122,3.95s,9,358,204,20,17,350,1,75%,3,6,88.9%,399,25,0,25,11,74%,25/34,Panthers vs Rabbitohs,Rabbitohs,2015
