,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,40%,22:33,152,"1,415",498,2,27,47.2,112,3.53s,6,324,176,14,16,451,0,80%,0,4,3,81.7%,397,58,31,8,4,7,80%,24/30,Warriors vs Raiders,Warriors,2019
1,60%,33:49,218,"2,060",646,7,58,55.7,254,3.8s,17,431,219,26,22,563,3,62%,1,4,9,89.6%,293,27,7,8,6,8,86%,32/37,Warriors vs Raiders,Raiders,2019
