,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,26:31,167,"1,606",588,4,24,47.2,170,8,376,204,1,21,664,0,92%,6,3,87.6%,360,25,2,26,9,1,82%,28/34,Raiders vs Broncos,Raiders,2013
1,50%,26:31,184,"1,826",623,6,25,44.5,253,13,410,215,3,22,604,2,100%,5,4,90.6%,338,24,0,11,3,0,80%,33/41,Raiders vs Broncos,Broncos,2013
