,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:20,179,"1,701",354,4,27,44.8,210,3.22s,7,401,226,19,13,333,1,100%,2,2,93.7%,419,22,0,6,16,5,0,8,1,63%,24/38,Rabbitohs vs Broncos,Rabbitohs,2016
1,51%,27:25,186,"1,822",367,7,22,43.4,199,3.99s,4,412,221,17,20,654,2,75%,1,4,88.5%,347,27,3,18,9,5,1,8,0,79%,33/42,Rabbitohs vs Broncos,Broncos,2016
