,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,22:14,157,"1,263",458,1,13,33.2,100,3.29s,7,363,211,35,14,304,1,33%,8,2,85.8%,339,39,17,14,6,1,8,66%,25/38,Panthers vs Sea Eagles,Panthers,2018
1,57%,29:29,172,"1,379",524,3,39,36.3,122,3.67s,11,401,222,12,17,417,1,77%,2,3,91%,254,13,12,13,10,0,8,71%,27/38,Panthers vs Sea Eagles,Sea Eagles,2018
