,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,23:20,156,"1,294",523,1,19,33.2,143,3.2s,11,334,166,3,19,398,0,60%,4,6,88.3%,356,36,11,11,4,7,77%,30/39,Wests Tigers vs Roosters,Wests Tigers,2017
1,54%,27:23,192,"1,680",577,7,36,39.1,235,3.48s,6,415,232,8,18,395,3,45%,2,5,88.9%,304,19,19,20,5,7,60%,26/43,Wests Tigers vs Roosters,Roosters,2017
