,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,24:35,148,"1,452",452,6,19,39.2,173,7,326,158,19,20,699,1,89%,4,4,92.8%,333,10,16,6,76%,28/37,Roosters vs Bulldogs,Roosters,2013
1,46%,20:57,157,"1,290",432,0,10,39.1,158,10,374,213,21,17,433,0,94%,2,2,89.6%,285,19,14,5,64%,21/33,Roosters vs Bulldogs,Bulldogs,2013
