,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,24:29,180,"1,606",578,3,25,47.2,203,3.02s,8,379,202,33,18,478,2,57%,4,4,91.8%,346,22,9,10,9,8,0,76%,26/34,Rabbitohs vs Broncos,Rabbitohs,2017
1,52%,26:32,179,"1,632",536,2,22,45.3,158,3.68s,7,386,214,30,17,416,0,50%,2,6,89.5%,332,25,14,7,5,8,2,83%,30/36,Rabbitohs vs Broncos,Broncos,2017
