,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,24:05,165,"1,472",483,1,15,40.9,137,3.33s,8,356,199,2,18,461,0,82%,5,3,85.5%,354,45,15,11,12,8,2,72%,26/36,Bulldogs vs Rabbitohs,Bulldogs,2019
1,57%,31:55,216,"1,810",530,4,45,41.2,210,3.76s,11,444,248,8,23,568,4,70%,3,9,92.9%,314,15,9,9,8,8,0,80%,35/44,Bulldogs vs Rabbitohs,Rabbitohs,2019
