,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,31:03,168,"1,235",433,2,42,28.7,112,3.96s,7,420,230,31,19,516,2,80%,2,6,87.6%,331,33,14,13,11,1,8,2,72%,31/43,Eels vs Panthers,Eels,2018
1,44%,24:23,147,"1,230",391,1,33,30.8,171,3.61s,10,333,166,31,17,480,1,70%,8,1,87.8%,352,42,7,13,12,1,8,0,73%,29/40,Eels vs Panthers,Panthers,2018
