,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,23:57,147,"1,416",517,7,22,38.3,182,13,380,212,1,14,362,2,91%,2,4,89.9%,258,17,0,12,6,0,62%,23/37,Bulldogs vs Eels,Bulldogs,2013
1,51%,24:56,138,"1,366",488,3,17,41.4,122,10,380,226,3,16,377,2,75%,1,5,87.3%,295,22,1,21,6,1,76%,25/33,Bulldogs vs Eels,Eels,2013
