,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,26:10,169,"1,608",510,5,41,42.3,158,3.66s,8,366,196,24,20,581,0,67%,7,3,85.3%,319,39,16,9,4,8,82%,31/38,Broncos vs Raiders,Broncos,2016
1,49%,25:08,170,"1,580",515,2,39,42.7,206,3.55s,9,358,175,17,20,515,2,91%,2,7,85.4%,304,41,11,8,6,7,78%,29/37,Broncos vs Raiders,Raiders,2016
