,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,27:28,185,"1,476",491,6,17,37.9,116,3.23s,8,412,230,32,22,465,0,50%,3,7,85.9%,287,24,23,7,5,0,0,4,4,82%,32/39,Bulldogs vs Roosters,Bulldogs,2016
1,44%,21:34,146,"1,336",447,6,24,38.2,186,3.49s,15,348,188,20,14,391,2,62%,6,4,93%,345,17,9,14,8,1,1,8,0,60%,21/35,Bulldogs vs Roosters,Roosters,2016
