,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,24:16,180,"1,466",415,5,33,37.6,179,3.13s,11,414,219,23,21,615,2,80%,1,3,6,95%,345,11,7,11,8,1,1,8,69%,27/39,Storm vs Titans,Storm,2016
1,52%,26:18,162,"1,212",431,1,11,31.9,159,3.72s,7,392,218,18,21,486,2,88%,0,9,5,87.2%,328,33,15,10,4,0,0,7,79%,30/38,Storm vs Titans,Titans,2016
