,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,40%,19:54,131,"1,204",360,4,28,40.1,164,3.07s,8,314,175,5,16,445,1,100%,1,3,87.3%,350,28,1,23,10,6,7,73%,22/30,Roosters vs Sharks,Roosters,2017
1,60%,29:51,192,"1,859",502,8,28,48.9,299,3.31s,13,425,235,10,21,494,2,86%,4,4,85.7%,227,28,1,10,5,5,8,89%,34/38,Roosters vs Sharks,Sharks,2017
