,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,30%,13:45,138,"1,228",441,4,21,31.5,128,11,340,195,6,13,340,1,87%,1,4,89.5%,349,22,19,8,0,74%,29/39,Sharks vs Cowboys,Sharks,2014
1,70%,32:06,157,"1,590",554,5,22,40.8,253,9,396,224,9,19,369,2,100%,3,6,89.6%,292,21,13,11,2,85%,33/39,Sharks vs Cowboys,Cowboys,2014
