,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,24:36,169,"1,319",394,4,30,38.8,79,3.49s,5,342,180,24,16,358,0,33%,1,3,83.5%,268,38,15,7,7,8,88%,30/34,Knights vs Raiders,Knights,2017
1,45%,20:08,136,"1,330",458,5,38,41.6,160,3.31s,9,290,156,19,11,257,1,20%,1,5,89%,306,30,8,13,8,6,69%,22/32,Knights vs Raiders,Raiders,2017
