,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,25:01,184,"1,712",540,8,40,41.8,158,3.62s,10,391,208,34,16,535,1,83%,0,2,4,89.7%,306,20,0,15,3,78%,32/41,Broncos vs Wests Tigers,Broncos,2015
1,49%,24:02,149,"1,392",472,3,20,43.5,144,4.3s,9,364,200,17,20,500,1,57%,1,3,2,84.4%,324,40,1,20,7,78%,25/32,Broncos vs Wests Tigers,Wests Tigers,2015
