,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,29:21,180,"1,559",495,3,27,40,186,12,448,259,32,17,408,3,90%,7,5,87.2%,287,29,13,7,1,69%,27/39,Warriors vs Dragons,Warriors,2014
1,43%,22:08,153,"1,401",444,3,29,35.9,195,8,351,166,12,21,583,1,80%,4,3,88.5%,348,27,18,7,0,79%,31/39,Warriors vs Dragons,Dragons,2014
