,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,21:54,146,"1,463",412,5,34,45.7,101,3.15s,10,322,174,8,14,368,0,91%,2,3,84.3%,295,39,0,16,9,5,7,75%,24/32,Raiders vs Broncos,Raiders,2017
1,55%,26:46,177,"1,717",514,6,39,49.1,246,3.49s,10,398,224,17,19,506,4,80%,5,4,84.8%,274,34,1,15,7,5,7,86%,30/35,Raiders vs Broncos,Broncos,2017
