,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,25:14,182,"1,462",504,4,20,38.5,156,3.53s,14,388,207,5,19,556,0,68%,5,1,86%,382,33,0,29,11,8,0,1,8,79%,30/38,Bulldogs vs Panthers,Bulldogs,2019
1,57%,33:28,226,"1,879",622,2,33,45.8,186,3.55s,23,519,302,15,22,458,3,71%,10,9,88.2%,330,20,1,24,11,8,1,0,7,80%,33/41,Bulldogs vs Panthers,Panthers,2019
