,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,67%,30:08,153,"1,648",486,8,30,42.3,158,11,382,213,7,16,395,1,89%,4,5,86%,257,21,1,21,4,69%,27/39,Warriors vs Raiders,Warriors,2014
1,33%,14:50,128,985,334,1,21,31.8,88,13,334,183,7,16,397,1,78%,3,4,85.5%,277,30,0,17,3,58%,18/31,Warriors vs Raiders,Raiders,2014
