,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,26:15,178,"1,582",550,2,19,40.6,130,14,416,218,10,21,690,0,94%,2,5,85.4%,352,39,1,21,8,0,77%,30/39,Sea Eagles vs Broncos,Sea Eagles,2014
1,50%,26:15,175,"1,687",634,4,39,41.2,170,16,411,217,12,24,550,1,93%,8,9,89.1%,327,19,2,21,8,1,71%,29/41,Sea Eagles vs Broncos,Broncos,2014
