,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,27:13,180,"1,548",489,4,33,36,130,3.61s,15,413,233,23,18,472,2,73%,3,4,95.1%,392,15,5,15,6,7,72%,31/43,Rabbitohs vs Sea Eagles,Rabbitohs,2016
1,51%,28:19,168,"1,677",564,5,15,44.1,112,3.68s,1,397,209,15,22,546,1,64%,8,5,84.3%,312,33,25,8,11,7,84%,32/38,Rabbitohs vs Sea Eagles,Sea Eagles,2016
