,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,25:31,189,"1,771",440,5,33,43.2,144,3.14s,15,405,228,5,19,534,2,85%,3,5,87.1%,370,36,0,19,17,14,1,7,1,63%,26/41,Sharks vs Titans,Sharks,2019
1,56%,32:29,192,"1,643",456,2,36,34.2,154,3.2s,11,444,239,3,21,404,3,80%,5,9,84.8%,317,33,1,24,18,5,0,8,0,71%,34/48,Sharks vs Titans,Titans,2019
