,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,29:03,187,"1,700",521,2,33,44.7,206,3.77s,16,426,225,21,24,499,3,64%,7,8,85.3%,332,43,0,14,10,9,8,2,84%,32/38,Wests Tigers vs Dragons,Wests Tigers,2017
1,47%,25:46,167,"1,590",504,5,43,41.9,151,3.5s,9,361,185,15,23,618,2,59%,1,5,86.1%,366,33,1,26,7,8,8,0,87%,33/38,Wests Tigers vs Dragons,Dragons,2017
