,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,19:57,140,"1,210",434,3,23,37.8,100,3.39s,9,324,166,27,16,488,1,82%,5,1,88.1%,362,32,1,17,6,75%,24/32,Titans vs Warriors,Titans,2015
1,58%,27:33,188,"1,787",620,5,32,44.7,223,3.69s,11,442,241,27,23,435,4,50%,4,9,87.7%,278,23,0,16,5,82%,33/40,Titans vs Warriors,Warriors,2015
