,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,40%,19:18,144,"1,379",481,2,15,41.8,131,3.27s,8,325,180,14,14,307,1,45%,0,5,2,92.5%,347,17,11,5,70%,23/33,Knights vs Raiders,Knights,2015
1,60%,28:57,175,"1,595",587,4,17,40.9,187,3.41s,7,398,203,21,26,767,3,82%,1,2,5,90.9%,299,15,15,7,90%,35/39,Knights vs Raiders,Raiders,2015
