,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,40%,20:51,177,"1,442",559,2,27,39,108,8,400,205,9,26,799,0,85%,5,3,84.1%,285,36,18,4,92%,34/37,Eels vs Roosters,Eels,2014
1,60%,31:16,163,"1,632",512,7,36,46.6,230,14,413,237,12,19,448,2,100%,8,6,91.3%,368,27,8,8,74%,26/35,Eels vs Roosters,Roosters,2014
