,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,62%,31:23,162,"1,478",612,0,10,35.2,136,14,402,224,42,17,288,3,92%,2,5,93%,318,12,12,3,57%,24/42,Dragons vs Roosters,Dragons,2013
1,38%,19:14,153,"1,487",499,5,12,43.8,106,10,354,183,27,17,591,0,91%,4,2,91.1%,338,10,23,10,76%,26/34,Dragons vs Roosters,Roosters,2013
