,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,25:17,159,"1,421",460,3,35,38.4,136,3.56s,3,385,227,47,14,225,2,83%,0,2,6,89.8%,274,24,7,10,9,0,8,0,76%,28/37,Cowboys vs Sea Eagles,Cowboys,2017
1,43%,19:05,143,"1,415",476,3,24,38.3,99,3.36s,5,304,159,29,13,326,1,70%,1,1,6,88.5%,293,35,3,12,11,1,8,4,73%,27/37,Cowboys vs Sea Eagles,Sea Eagles,2017
