,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,27:44,187,"1,737",547,7,38,45.7,200,3.76s,5,391,219,9,19,556,2,80%,2,7,85.4%,234,24,1,16,7,5,1,8,82%,31/38,Storm vs Sharks,Storm,2019
1,41%,19:16,150,"1,261",360,4,24,40.7,150,3.74s,8,290,164,4,10,376,1,55%,2,0,87.6%,340,38,0,10,13,7,1,6,61%,19/31,Storm vs Sharks,Sharks,2019
