,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,27:48,196,"1,732",373,7,51,43.3,179,3.65s,15,421,232,15,18,395,1,89%,1,1,8,89.2%,281,24,10,6,5,7,0,85%,34/40,Sea Eagles vs Raiders,Sea Eagles,2019
1,49%,26:42,156,"1,557",316,4,24,47.2,168,3.4s,6,342,175,11,22,601,2,75%,1,5,4,82.4%,356,51,25,9,13,7,1,82%,27/33,Sea Eagles vs Raiders,Raiders,2019
