,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,25:37,162,"1,397",374,2,32,38.8,122,3.38s,7,381,207,23,21,600,2,88%,5,3,90.3%,364,27,0,12,5,9,8,81%,29/36,Broncos vs Wests Tigers,Broncos,2016
1,52%,27:46,190,"1,705",464,5,27,43.7,206,3.49s,10,441,246,7,20,379,3,60%,7,7,88.7%,336,32,1,11,6,6,8,85%,33/39,Broncos vs Wests Tigers,Wests Tigers,2016
