,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,29:41,211,"1,700",549,1,47,42.5,159,3.32s,14,456,259,47,22,600,1,73%,5,3,87.2%,360,35,1,18,8,6,1,1,8,78%,31/40,Knights vs Bulldogs,Knights,2019
1,52%,32:10,211,"1,915",605,4,35,50.4,328,3.43s,12,436,234,55,21,582,2,67%,8,2,83.4%,358,47,2,24,14,7,0,0,7,68%,26/38,Knights vs Bulldogs,Bulldogs,2019
