,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,27:38,181,"1,670",709,4,42,39.8,167,10,433,227,9,23,654,3,91%,2,3,88.5%,353,15,1,31,6,79%,33/42,Storm vs Broncos,Storm,2013
1,48%,25:31,161,"1,381",573,0,15,37.3,109,12,372,195,11,17,467,0,87%,1,3,87.3%,377,42,1,13,4,65%,24/37,Storm vs Broncos,Broncos,2013
