,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,26:39,154,"1,474",560,4,23,42.1,139,9,394,219,7,18,479,0,83%,1,5,86.4%,274,23,1,20,5,74%,26/35,Cowboys vs Eels,Cowboys,2014
1,44%,20:57,140,"1,226",453,3,23,35,115,11,341,193,10,11,273,1,82%,1,1,88%,300,23,0,18,5,57%,20/35,Cowboys vs Eels,Eels,2014
