,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,24:57,167,"1,500",460,5,33,40.6,180,3.29s,10,348,174,16,19,456,0,80%,1,5,90%,333,25,12,5,7,1,8,89%,33/37,Knights vs Warriors,Knights,2017
1,48%,23:02,163,"1,513",493,5,25,42,149,3.28s,8,348,183,25,19,458,2,86%,6,6,88.1%,347,33,14,7,10,0,8,81%,29/36,Knights vs Warriors,Warriors,2017
