,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,67%,31:26,200,"1,801",541,11,42,45,183,3.88s,20,431,240,38,20,612,3,88%,1,0,6,89.3%,274,14,19,5,0,82%,33/40,Storm vs Panthers,Storm,2015
1,33%,15:29,136,"1,116",384,3,14,42.9,124,3.7s,10,293,155,20,12,320,0,50%,0,2,3,82.8%,347,42,30,5,1,69%,18/26,Storm vs Panthers,Panthers,2015
