,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,22:46,149,"1,285",362,2,19,37.8,118,3.66s,14,372,226,17,16,370,1,0%,5,3,86.1%,304,28,1,21,5,11,1,6,3,85%,29/34,Titans vs Raiders,Titans,2016
1,53%,25:41,161,"1,457",371,3,28,41.7,81,3.45s,14,328,176,13,10,249,1,56%,1,1,85.6%,255,19,2,24,7,10,0,5,2,77%,27/35,Titans vs Raiders,Raiders,2016
