,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,65%,32:47,209,"1,921",686,2,32,48,257,3.57s,20,452,243,27,22,470,4,100%,0,3,7,93.9%,339,12,1,10,4,0,78%,31/40,Dragons vs Sea Eagles,Dragons,2015
1,35%,17:39,172,"1,390",448,0,12,37.6,103,3.82s,6,419,245,33,17,542,1,100%,1,2,4,85.1%,349,32,0,29,8,1,62%,23/37,Dragons vs Sea Eagles,Sea Eagles,2015
