,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,24:29,165,"1,722",581,8,42,49.2,153,3.16s,10,357,199,24,13,272,1,88%,0,2,6,86.1%,297,37,11,6,11,2,7,80%,28/35,Sea Eagles vs Titans,Sea Eagles,2018
1,50%,24:29,158,"1,498",521,5,37,40.5,161,3.03s,6,355,196,27,18,504,3,78%,1,3,5,84.5%,305,42,14,5,8,0,6,89%,33/37,Sea Eagles vs Titans,Titans,2018
