,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,24:43,183,"1,636",412,3,34,43.1,200,3.27s,15,391,198,7,16,350,3,62%,1,5,89.4%,287,17,1,17,10,5,8,74%,28/38,Wests Tigers vs Titans,Wests Tigers,2016
1,50%,24:43,142,"1,447",416,2,17,45.2,185,3.31s,9,346,180,12,16,354,0,67%,8,4,86.6%,342,34,1,19,11,9,8,81%,26/32,Wests Tigers vs Titans,Titans,2016
