,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,38%,20:39,167,"1,317",503,0,10,32.9,123,3.81s,4,391,220,20,20,656,45%,5,2,89.2%,339,30,0,11,7,68%,27/40,Sea Eagles vs Cowboys,Sea Eagles,2015
1,62%,33:43,185,"1,868",618,6,30,44.5,212,3.96s,5,427,229,33,23,530,83%,6,4,94.5%,326,10,1,9,5,83%,35/42,Sea Eagles vs Cowboys,Cowboys,2015
