,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,24:37,150,"1,353",529,3,30,37.6,151,3.32s,12,351,192,25,15,346,1,64%,5,4,89.3%,358,32,1,11,12,10,0,1,8,75%,27/36,Titans vs Roosters,Titans,2018
1,52%,26:41,181,"1,558",570,3,32,37.1,170,3.56s,8,394,213,15,21,552,1,88%,6,2,85.1%,280,30,0,19,8,8,1,1,8,81%,34/42,Titans vs Roosters,Roosters,2018
