,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,27:29,175,"1,626",496,4,29,39.7,276,6,407,236,6,19,573,3,94%,1,2,5,88.7%,299,27,0,11,8,1,78%,32/41,Eels vs Sea Eagles,Eels,2014
1,47%,24:23,156,"1,298",380,3,27,35.1,141,9,368,205,6,19,489,3,81%,0,2,6,88.4%,304,29,1,11,7,1,70%,26/37,Eels vs Sea Eagles,Sea Eagles,2014
