,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,39%,18:31,154,"1,508",522,5,23,41.9,122,14,377,209,15,19,535,2,78%,4,2,90.3%,317,16,18,7,81%,29/36,Sharks vs Panthers,Sharks,2013
1,61%,28:59,155,"1,430",476,2,16,44.7,149,16,424,251,16,17,405,0,93%,3,6,89.4%,330,23,16,12,72%,23/32,Sharks vs Panthers,Panthers,2013
