,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,27:36,194,"1,666",529,2,27,37,176,16,458,233,21,29,845,0,88%,1,7,3,84.2%,304,38,1,19,5,78%,35/45,Panthers vs Knights,Panthers,2014
1,48%,25:29,161,"1,406",463,2,38,39.1,166,14,369,190,13,21,639,1,77%,1,3,1,88.3%,369,27,0,22,4,61%,22/36,Panthers vs Knights,Knights,2014
