,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,26:03,162,"1,428",492,5,43,39.7,172,7,372,196,16,17,438,2,89%,5,6,90.3%,324,31,4,8,0,78%,28/36,Roosters vs Sea Eagles,Roosters,2013
1,50%,26:03,164,"1,333",514,3,31,32.5,197,3,401,227,20,20,541,4,88%,2,6,85.7%,324,43,11,9,1,80%,33/41,Roosters vs Sea Eagles,Sea Eagles,2013
