,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,62%,30:55,160,"1,320",394,5,18,36.7,191,4.67s,7,350,180,21,14,387,3,83%,0,1,2,87.3%,323,24,23,4,72%,26/36,Knights vs Eels,Knights,2015
1,38%,18:56,177,"1,396",493,5,24,37.7,140,5.01s,13,405,215,13,22,552,1,100%,1,1,10,92.1%,315,18,9,8,78%,29/37,Knights vs Eels,Eels,2015
