,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,27:32,182,"1,429",424,2,28,34.9,119,3.2s,19,395,209,7,14,402,86%,1,6,86.6%,361,45,11,16,8,0,8,71%,29/41,Wests Tigers vs Dragons,Wests Tigers,2018
1,50%,27:32,181,"1,481",441,4,45,37,93,3.21s,10,384,203,2,17,497,83%,3,3,86.6%,348,28,26,10,10,1,8,78%,31/40,Wests Tigers vs Dragons,Dragons,2018
