,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,24:40,160,"1,412",430,2,21,40.4,149,3.38s,6,360,186,27,20,520,43%,5,3,89.5%,340,25,15,8,10,8,77%,27/35,Panthers vs Roosters,Panthers,2017
1,52%,26:43,180,"1,427",498,2,25,38.6,106,3.57s,8,398,222,25,17,522,50%,4,3,92.1%,328,21,7,14,9,8,70%,26/37,Panthers vs Roosters,Roosters,2017
