,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,29:34,176,"1,613",576,3,24,42.5,186,12,421,222,17,20,602,94%,1,2,89.8%,359,27,14,5,76%,29/38,Sharks vs Knights,Sharks,2014
1,49%,28:25,177,"1,884",686,5,27,47.1,288,11,432,236,4,21,478,88%,8,2,89.6%,353,24,17,7,85%,34/40,Sharks vs Knights,Knights,2014
