,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Send Offs,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,20:11,178,"1,495",468,2,20,35.6,174,11,404,229,16,18,539,2,73%,1,4,89.4%,305,30,0,6,9,0,0,71%,30/42,Sea Eagles vs Roosters,Sea Eagles,2013
1,55%,24:41,168,"1,686",479,2,30,42.2,200,4,349,186,7,16,518,0,76%,3,2,88.3%,288,20,1,18,9,1,1,60%,24/40,Sea Eagles vs Roosters,Roosters,2013
